    0   1   2   3   4   5   6   7   8   9   10  11  12  13  14  15
0    8   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
1    0   2   2   0   4  -2   2   0   2   0  -4  -2   2   0   0   2
2    0   2   0   2   0   2   4  -2   2   0   2   0  -2  -4   2   0
3    0   0   2  -2   0   0   2   6   0   0   2  -2   0   0   2  -2
4    0  -2   2   0  -4  -2  -2   0   2   0   0  -2   2  -4   0   2
5    0   0  -4   0   0  -4   0   0   0  -4   0   0   0   0   4   0
6    0   0  -2  -2   0  -4   2  -2   0   4   2  -2   0   0  -2  -2
7    0  -2   0  -6   0   2   0  -2   2   0  -2   0  -2   0   2   0
8    0   4   0   0  -4   0   0   0   4   0   0   0   0   4   0   0
9    0   2  -2   0   0   2  -2   0  -2   4   0  -2   2   0   4   2
10   0  -2   0   2   0  -2   0   2   2   4  -2   4  -2   0   2   0
11   0   0  -2  -2   0   0   2   2   0   0   2   2   0   0  -2   6
12   0   2   2   0   0  -2  -2   0  -2   0   0  -2  -6   0   0   2
13   0   0   0   0  -4   0   4   0  -4   0  -4   0   0   0   0   0
14   0   4  -2  -2   0   0  -2   2   0   0  -2   2   0  -4  -2  -2
15   0  -2  -4   2   0   2   0   2   2   0  -2  -4  -2   0  -2   0




